"","lagoslakeid","secchi","TP","chla","color","TN","nYears_secchi","nYears_TP","nYears_TN","nYears_color","nYears_chla","hu12_zoneid","hu4_zoneid"
"1956",2625,2.8168,17.5,4.15,19,605.5,2,2,2,2,2,"HU12_12911","HU4_32"
"1957",2626,6.35,8,0.66,NA,230,4,7,7,7,7,"HU12_20125","HU4_28"
"1958",2628,3.8288,NA,3.6,NA,NA,1,1,1,1,1,"HU12_13626","HU4_30"
"1959",2629,4.5,12.44971317,2.01044,NA,206.96062945,2,2,2,2,2,"HU12_13767","HU4_31"
"1960",2631,1.7,155,3.99,NA,1788,1,1,1,1,1,"HU12_16792","HU4_12"
"1961",2633,2.1,16,6.25,NA,389.3,1,1,1,1,1,"HU12_17202","HU4_13"
"1962",2634,2.3,33,NA,NA,746,3,3,3,3,3,"HU12_6031","HU4_37"
"1963",2635,0.7048,NA,4.15,235,NA,2,2,2,2,2,"HU12_13507","HU4_24"
"1964",2636,2.1906,13,6.2,NA,752.5,2,2,2,2,2,"HU12_19968","HU4_30"
"1965",2637,6.1646,7.5,2.95,NA,311.5,2,2,2,2,2,"HU12_13070","HU4_32"
"1966",2638,1.2192,NA,NA,NA,NA,1,3,3,3,3,"HU12_14851","HU4_24"
"1967",2639,0.6,35,6.3,NA,549,1,1,1,1,1,"HU12_13611","HU4_30"
"1968",2642,2.4,22,NA,NA,1719,5,5,5,5,5,"HU12_6502","HU4_37"
"1969",2643,2,NA,NA,NA,NA,19,21,21,21,21,"HU12_17540","HU4_7"
"1970",2644,2.8716,18,NA,NA,NA,2,2,2,2,2,"HU12_12659","HU4_30"
"1971",2645,5.1146,4,2.3,NA,306.5,2,2,2,2,2,"HU12_13783","HU4_30"
"1972",2646,3.5052,11,NA,NA,NA,20,5,5,5,5,"HU12_12247","HU4_37"
"1973",2648,1.98,NA,NA,NA,NA,15,13,13,13,13,"HU12_10855","HU4_25"
"1974",2649,5.6525,NA,2.75,NA,NA,2,2,2,2,2,"HU12_14499","HU4_25"
"1975",2650,1.6,NA,5.25,NA,NA,3,4,4,4,4,"HU12_6532","HU4_37"
"1976",2651,3.12801,23,NA,NA,NA,12,13,13,13,13,"HU12_11595","HU4_33"
"1977",2653,2.515,11,3.02,NA,583,2,1,1,1,1,"HU12_13963","HU4_25"
"1978",2654,3.81,NA,NA,NA,NA,19,8,8,8,8,"HU12_11060","HU4_25"
"1979",2655,1.135,NA,NA,NA,NA,4,3,3,3,3,"HU12_19771","HU4_28"
"1980",2656,3.048,NA,NA,NA,NA,15,11,11,11,11,"HU12_12608","HU4_30"
"1981",2657,3.2766,NA,NA,NA,NA,18,10,10,10,10,"HU12_6685","HU4_41"
"1982",2658,3.024,NA,1.25,NA,NA,10,8,8,8,8,"HU12_12577","HU4_39"
"1983",2659,2.8716,17.5,4.5,NA,913,2,2,2,2,2,"HU12_12659","HU4_30"
"1984",2660,4.34,NA,4,NA,NA,21,9,9,9,9,"HU12_10816","HU4_25"
"1985",2663,1.52,NA,12.1069495,NA,986,2,2,2,2,2,"HU12_7921","HU4_41"
"1986",2664,1.45,NA,10,NA,NA,6,3,3,3,3,"HU12_19729","HU4_25"
"1987",2665,2.1,23,6.73,NA,342,3,3,3,3,3,"HU12_4564","HU4_38"
"1988",2666,2.2,NA,NA,NA,NA,1,1,1,1,1,"HU12_12691","HU4_30"
"1989",2667,3.2,NA,6,NA,NA,27,14,14,14,14,"HU12_10445","HU4_25"
"1990",2668,5.3,18,4.8,7,271,1,1,1,1,1,"HU12_14859","HU4_24"
"1991",2670,3.51,NA,5,NA,NA,25,13,13,13,13,"HU12_10799","HU4_25"
"1992",2671,1.05,NA,NA,NA,NA,4,4,4,4,4,"HU12_6412","HU4_37"
"1993",2676,7.3152,NA,16,NA,NA,13,3,3,3,3,"HU12_12609","HU4_30"
"1994",2677,2.5,17.655,3.075,NA,237.665,2,2,2,2,2,"HU12_19238","HU4_37"
"1995",2678,3.1621,NA,NA,NA,NA,14,10,10,10,10,"HU12_12361","HU4_37"
"1996",2679,2.8,NA,10.91,NA,NA,3,3,3,3,3,"HU12_14210","HU4_54"
"1997",2680,0.82,NA,42.5,NA,NA,12,11,11,11,11,"HU12_11155","HU4_29"
"1998",2681,0.35,167,NA,NA,1696.5,4,4,4,4,4,"HU12_4777","HU4_48"
"1999",2682,2.286,9,4,NA,691,3,3,3,3,3,"HU12_20004","HU4_40"
"2000",2683,3.6195,NA,NA,NA,NA,20,5,5,5,5,"HU12_13390","HU4_33"
"2001",2685,0.6096,62,NA,140,NA,1,1,1,1,1,"HU12_13392","HU4_33"
"2002",2686,0.21,NA,219.5,NA,NA,10,2,2,2,2,"HU12_10686","HU4_25"
"2003",2688,3.7,8,NA,NA,NA,1,1,1,1,1,"HU12_13413","HU4_33"
"2004",2689,4.45,NA,2,NA,NA,18,3,3,3,3,"HU12_10941","HU4_25"
"2005",2690,2.7432,14,3.4,NA,832,7,2,2,2,2,"HU12_12744","HU4_40"
"2006",2691,2.44,NA,5.5,NA,NA,24,12,12,12,12,"HU12_10484","HU4_54"
"2007",2692,2.4825,12.75,NA,NA,309,2,2,2,2,2,"HU12_12937","HU4_32"
"2008",2693,2.2,36,41.13,NA,989,1,1,1,1,1,"HU12_9017","HU4_13"
"2009",2694,6.175,NA,2,NA,NA,10,5,5,5,5,"HU12_19767","HU4_25"
"2010",2695,0.5,130,NA,125,1620,1,1,1,1,1,"HU12_13378","HU4_33"
"2011",2699,3.9074,9,5,NA,371,2,1,1,1,1,"HU12_6533","HU4_37"
"2012",2700,1.6,20,23.8,NA,497,1,1,1,1,1,"HU12_19442","HU4_16"
"2013",2701,1.2192,NA,NA,NA,NA,13,9,9,9,9,"HU12_12497","HU4_39"
"2014",2702,1.71,NA,4.99,NA,NA,2,1,1,1,1,"HU12_14406","HU4_26"
"2015",2703,2.8,NA,NA,NA,NA,13,13,13,13,13,"HU12_17184","HU4_7"
"2016",2704,3,12.126926565,NA,NA,NA,3,2,2,2,2,"HU12_12518","HU4_39"
"2017",2705,3.07848,17,9.44,20,NA,2,1,1,1,1,"HU12_13106","HU4_27"
"2018",2706,2.9,21,NA,NA,1057,4,4,4,4,4,"HU12_6154","HU4_38"
"2019",2708,5.21208,12,NA,NA,NA,11,6,6,6,6,"HU12_11444","HU4_29"
"2020",2709,0.76,NA,NA,NA,NA,27,21,21,21,21,"HU12_10793","HU4_25"
"2021",2710,2.5908,13,NA,NA,NA,4,5,5,5,5,"HU12_20002","HU4_40"
"2022",2711,1.524,27,NA,30,589,1,1,1,1,1,"HU12_13389","HU4_33"
"2023",2713,1.445,NA,NA,NA,NA,25,15,15,15,15,"HU12_19631","HU4_53"
"2024",2714,3.9243,NA,NA,NA,NA,30,21,21,21,21,"HU12_13624","HU4_30"
"2025",2715,3.075,16.5,5.525,NA,737.5,2,2,2,2,2,"HU12_14492","HU4_25"
"2026",2716,2,32,10.1,NA,817,2,1,1,1,1,"HU12_14409","HU4_26"
"2027",2717,0.5334,100.5,NA,NA,NA,19,11,11,11,11,"HU12_12177","HU4_32"
"2028",2718,0.91,NA,64.725,NA,NA,30,20,20,20,20,"HU12_11076","HU4_25"
"2029",2720,2.5908,NA,NA,NA,NA,13,12,12,12,12,"HU12_12675","HU4_30"
"2030",2721,0.6,49.5,NA,NA,1669.5,4,4,4,4,4,"HU12_6125","HU4_38"
"2031",2722,1.2,NA,12,45,NA,1,1,1,1,1,"HU12_6650","HU4_37"
"2032",2723,3.4671,NA,NA,NA,NA,22,21,21,21,21,"HU12_13628","HU4_30"
"2033",2724,2,32,NA,NA,868.5,4,4,4,4,4,"HU12_6403","HU4_37"
"2034",2725,7,4,2,7,391,1,1,1,1,1,"HU12_12953","HU4_32"
"2035",2726,1.4,5,9.3,NA,760,1,1,1,1,1,"HU12_11063","HU4_25"
"2036",2729,3.7,12,2.9,NA,475,1,1,1,1,1,"HU12_20082","HU4_31"
"2037",2730,1.3716,23.5,NA,NA,NA,3,2,2,2,2,"HU12_13108","HU4_27"
"2038",2732,0.9,NA,NA,NA,NA,6,6,6,6,6,"HU12_4708","HU4_38"
"2039",2734,2.3622,13.5,5.25,NA,468,12,2,2,2,2,"HU12_19968","HU4_30"
"2040",2735,2.3622,11,NA,NA,NA,11,4,4,4,4,"HU12_13586","HU4_30"
"2041",2736,2.8085,NA,NA,NA,NA,8,15,15,15,15,"HU12_12214","HU4_36"
"2042",2737,1.6764,22,NA,NA,NA,9,4,4,4,4,"HU12_11805","HU4_32"
"2043",2738,1.295,NA,25.6,NA,NA,15,11,11,11,11,"HU12_11112","HU4_25"
"2044",2739,1.855,NA,NA,NA,609,4,3,3,3,3,"HU12_14484","HU4_25"
"2045",2740,1.7,44.5,NA,NA,1400.5,4,4,4,4,4,"HU12_6416","HU4_37"
"2046",2741,2.262,15.5,1.55,NA,775,2,2,2,2,2,"HU12_13234","HU4_24"
"2047",2742,1.3,33,24.3,NA,522,1,1,1,1,1,"HU12_9036","HU4_16"
"2048",2743,3.2,NA,5,NA,NA,22,14,14,14,14,"HU12_10492","HU4_54"
"2049",2744,2.1,13,6,NA,969,1,1,1,1,1,"HU12_6515","HU4_37"
"2050",2745,0.84,NA,47.53,NA,926,3,3,3,3,3,"HU12_7545","HU4_47"
"2051",2746,1.75,NA,NA,NA,NA,25,25,25,25,25,"HU12_11576","HU4_33"
"2052",2747,0.91,NA,NA,NA,NA,13,5,5,5,5,"HU12_10084","HU4_55"
"2053",2748,3.2004,13,6,NA,367,9,1,1,1,1,"HU12_19223","HU4_37"
"2054",2749,1.7,50,0.79,NA,388,1,1,1,1,1,"HU12_6325","HU4_41"
"2055",2751,3.6675,29,3.995,NA,415,8,3,3,3,3,"HU12_14746","HU4_28"
"2056",2752,2.11455,NA,NA,NA,NA,20,16,16,16,16,"HU12_13089","HU4_27"
"2057",2753,3.05,18,6.01,NA,540,3,1,1,1,1,"HU12_11039","HU4_25"
"2058",2754,4.3825,NA,2.95,NA,NA,26,3,3,3,3,"HU12_10894","HU4_25"
"2059",2755,1.1825,NA,19.5,NA,NA,18,11,11,11,11,"HU12_10960","HU4_25"
"2060",2757,0.9,120,NA,NA,NA,1,1,1,1,1,"HU12_16311","HU4_11"
"2061",2758,1.2,11,14.41,NA,398,1,1,1,1,1,"HU12_16800","HU4_13"
"2062",2759,1.0668,62,15.7,100,794,1,1,1,1,1,"HU12_13430","HU4_33"
"2063",2760,1.5,NA,4.6,NA,NA,1,1,1,1,1,"HU12_12383","HU4_37"
"2064",2763,0.6477,85.25,NA,NA,NA,10,8,8,8,8,"HU12_11837","HU4_32"
"2065",2764,1.8,24.39,8.9,NA,562.5,1,1,1,1,1,"HU12_9085","HU4_16"
"2066",2765,5.036,5,2.84,8.5,295.5,2,2,2,2,2,"HU12_13028","HU4_32"
"2067",2766,2.1336,15,NA,10,647,7,1,1,1,1,"HU12_13362","HU4_33"
"2068",2769,4.3434,NA,2.45,NA,NA,10,7,7,7,7,"HU12_12649","HU4_30"
"2069",2770,3.2,19,NA,NA,330,2,1,1,1,1,"HU12_14370","HU4_26"
"2070",2772,3.6576,NA,NA,NA,NA,25,18,18,18,18,"HU12_20089","HU4_31"
"2071",2774,1.1049,NA,NA,NA,NA,5,3,3,3,3,"HU12_13263","HU4_32"
"2072",2776,1.6,NA,13.37,NA,360,1,1,1,1,1,"HU12_19520","HU4_16"
"2073",2777,3.05,NA,NA,NA,NA,8,5,5,5,5,"HU12_11079","HU4_25"
"2074",2779,1.6,35,NA,NA,NA,5,5,5,5,5,"HU12_5878","HU4_35"
"2075",2780,3.05,NA,NA,NA,NA,17,12,12,12,12,"HU12_10387","HU4_53"
"2076",2781,5.9,NA,NA,6.9,NA,15,15,15,15,15,"HU12_13309","HU4_32"
"2077",2782,0.65,65.5,40.34,NA,2680.5,2,2,2,2,2,"HU12_6120","HU4_38"
"2078",2783,3.6,29.5,NA,NA,665,2,2,2,2,2,"HU12_18643","HU4_49"
"2079",2784,0.745,NA,48.43,NA,1802,3,3,3,3,3,"HU12_19135","HU4_45"
"2080",2785,0.8,NA,NA,NA,NA,23,23,23,23,23,"HU12_10794","HU4_25"
"2081",2786,0.6858,NA,NA,NA,NA,17,15,15,15,15,"HU12_11572","HU4_33"
"2082",2787,0.89,NA,NA,NA,NA,18,15,15,15,15,"HU12_11084","HU4_25"
"2083",2788,2.975,NA,8.5,NA,NA,3,1,1,1,1,"HU12_13949","HU4_25"
"2084",2789,2.5908,NA,NA,NA,NA,20,20,20,20,20,"HU12_13596","HU4_30"
"2085",2792,3.81,NA,2.2675,NA,432.75,7,2,2,2,2,"HU12_14555","HU4_25"
"2086",2793,0.735,55,NA,NA,NA,5,5,5,5,5,"HU12_6023","HU4_37"
"2087",2794,2.6692,10.5,4.5,NA,195.5,2,2,2,2,2,"HU12_19970","HU4_40"
"2088",2795,2.593,16,4.1,NA,529,2,2,2,2,2,"HU12_19967","HU4_30"
"2089",2797,3.65,24.5,NA,NA,406.5,4,4,4,4,4,"HU12_4882","HU4_38"
"2090",2798,2.8956,17.5,7.9,NA,445.5,5,2,2,2,2,"HU12_12733","HU4_40"
"2091",2799,1.6,16,4.3,NA,412,1,1,1,1,1,"HU12_16865","HU4_16"
"2092",2800,1.1,69.5,NA,NA,3084,4,4,4,4,4,"HU12_6409","HU4_37"
"2093",2801,2.4192,11.5,2.4,NA,637.5,2,2,2,2,2,"HU12_13015","HU4_32"
"2094",2802,6.629,5,1.8,NA,128,2,2,2,2,2,"HU12_13067","HU4_32"
"2095",2803,0.4,20,10.86,NA,624,1,1,1,1,1,"HU12_9166","HU4_16"
"2096",2806,5.3725,NA,NA,NA,NA,14,7,7,7,7,"HU12_11062","HU4_25"
"2097",2807,1.05,31.5,23.55,NA,925.5,1,1,1,1,1,"HU12_19440","HU4_16"
"2098",2808,2,55,1.54,NA,677,1,1,1,1,1,"HU12_6031","HU4_37"
"2099",2809,5.1816,3.5,2.5,NA,324.5,3,2,2,2,2,"HU12_13027","HU4_32"
"2100",2811,1.4125,NA,15,NA,NA,8,3,3,3,3,"HU12_14550","HU4_25"
"2101",2814,2.5,NA,NA,NA,521,3,3,3,3,3,"HU12_13942","HU4_26"
"2102",2815,4.6475,NA,4.35,NA,NA,20,8,8,8,8,"HU12_11120","HU4_25"
"2103",2816,3.5052,NA,NA,NA,NA,4,4,4,4,4,"HU12_12687","HU4_30"
"2104",2817,1.75,NA,11,NA,NA,8,8,8,8,8,"HU12_10961","HU4_25"
"2105",2819,0.4875,NA,81.0828595,NA,1141,2,2,2,2,2,"HU12_4757","HU4_46"
"2106",2820,2.25,NA,3.06,NA,644.5,4,4,4,4,4,"HU12_6032","HU4_37"
"2107",2821,0.79,NA,37.0617115,NA,725,2,2,2,2,2,"HU12_7088","HU4_47"
"2108",2822,1.45,NA,NA,NA,NA,17,7,7,7,7,"HU12_17181","HU4_7"
"2109",2823,1.0668,36,9.38,65,NA,1,1,1,1,1,"HU12_13128","HU4_27"
"2110",2824,1.1225,NA,69.95,NA,NA,8,6,6,6,6,"HU12_11089","HU4_25"
"2111",2825,4.2,5,NA,NA,NA,15,1,1,1,1,"HU12_13932","HU4_26"
"2112",2826,1.6764,19,6.1,NA,645.1266595,9,3,3,3,3,"HU12_12656","HU4_30"
"2113",2829,4,NA,NA,NA,NA,9,10,10,10,10,"HU12_17539","HU4_7"
"2114",2830,1.75,10,NA,NA,2076,6,5,5,5,5,"HU12_6020","HU4_37"
"2115",2833,1.6,19.5,NA,NA,608.5,4,4,4,4,4,"HU12_6415","HU4_37"
"2116",2834,3.048,13,5.4,57,591,3,1,1,1,1,"HU12_13084","HU4_32"
"2117",2835,2.7432,NA,0.8,5,NA,1,2,2,2,2,"HU12_12902","HU4_32"
"2118",2837,1.5725,NA,19.4,NA,NA,10,5,5,5,5,"HU12_13972","HU4_25"
"2119",2838,1.9812,23.75,6.4725,NA,NA,17,6,6,6,6,"HU12_13091","HU4_33"
"2120",2839,3.5052,13,2.28,NA,NA,7,1,1,1,1,"HU12_13326","HU4_32"
"2121",2841,1.37,NA,43,NA,NA,24,5,5,5,5,"HU12_10798","HU4_25"
"2122",2842,1.07,NA,22.5,NA,NA,21,4,4,4,4,"HU12_19746","HU4_25"
"2123",2844,3.3,18,NA,NA,NA,1,2,2,2,2,"HU12_17587","HU4_5"
"2124",2845,2,25,2.78,NA,695,3,3,3,3,3,"HU12_6031","HU4_37"
"2125",2846,3.2,NA,4.17,NA,NA,15,15,15,15,15,"HU12_10497","HU4_54"
"2126",2847,3.429,NA,NA,NA,NA,30,8,8,8,8,"HU12_13762","HU4_31"
"2127",2848,2.286,NA,NA,NA,NA,26,12,12,12,12,"HU12_12659","HU4_30"
"2128",2849,3.2,19,NA,NA,911,4,4,4,4,4,"HU12_6398","HU4_37"
"2129",2850,3.675,NA,NA,NA,NA,3,4,4,4,4,"HU12_14769","HU4_28"
"2130",2851,3.5052,NA,1.04,NA,NA,25,22,22,22,22,"HU12_13616","HU4_30"
"2131",2852,4.6482,16,NA,5,405,3,1,1,1,1,"HU12_13417","HU4_33"
"2132",2853,0.8,NA,4.81,NA,NA,5,5,5,5,5,"HU12_19756","HU4_25"
"2133",2855,3.3528,NA,NA,NA,NA,21,21,21,21,21,"HU12_13628","HU4_30"
"2134",2856,2.25,18.5,NA,NA,729,4,4,4,4,4,"HU12_6020","HU4_37"
"2135",2859,3.9,16,NA,NA,722,5,5,5,5,5,"HU12_6501","HU4_37"
"2136",2860,1.2,36,NA,NA,565,3,3,3,3,3,"HU12_4609","HU4_49"
"2137",2861,0.665,NA,NA,NA,NA,5,6,6,6,6,"HU12_19131","HU4_45"
"2138",2862,4.9,11,4,NA,404,1,1,1,1,1,"HU12_19223","HU4_37"
"2139",2863,1.8,105.75,NA,NA,NA,1,2,2,2,2,"HU12_11254","HU4_27"
"2140",2864,1.6,40,NA,NA,1679,5,5,5,5,5,"HU12_6129","HU4_38"
"2141",2866,2,120,7.9,NA,NA,1,1,1,1,1,"HU12_16738","HU4_10"
"2142",2867,3,NA,NA,NA,NA,11,17,17,17,17,"HU12_14351","HU4_26"
"2143",2869,2.9337,NA,NA,NA,NA,20,12,12,12,12,"HU12_12692","HU4_30"
"2144",2870,4.2,NA,NA,NA,NA,3,5,5,5,5,"HU12_13388","HU4_33"
"2145",2871,3.5074,13.5,2.95,19.5,802.5,2,2,2,2,2,"HU12_12730","HU4_40"
"2146",2872,0.835,NA,29,NA,NA,3,3,3,3,3,"HU12_10087","HU4_55"
"2147",2873,1.9875,17,7.240824,NA,1150,3,3,3,3,3,"HU12_19896","HU4_30"
"2148",2875,2.77,NA,5.3,NA,NA,2,2,2,2,2,"HU12_14469","HU4_25"
"2149",2876,1.455,NA,NA,NA,NA,30,15,15,15,15,"HU12_10983","HU4_53"
"2150",2877,3.0478,10,2.2,NA,412,2,2,2,2,2,"HU12_12633","HU4_30"
"2151",2878,1.9812,NA,NA,NA,NA,25,22,22,22,22,"HU12_11931","HU4_34"
"2152",2880,3.275,NA,3,NA,485,2,1,1,1,1,"HU12_13941","HU4_26"
"2153",2881,0.5,85,NA,NA,1853.5,4,4,4,4,4,"HU12_4733","HU4_38"
"2154",2885,2.286,24.75,6.48,NA,NA,6,4,4,4,4,"HU12_13099","HU4_27"
"2155",2887,1.1,60,8.1,NA,1012,1,1,1,1,1,"HU12_9072","HU4_13"
"2156",2888,4.1,NA,NA,NA,NA,2,3,3,3,3,"HU12_12328","HU4_37"
"2157",2890,1.0668,112,15.9,60,1013,2,1,1,1,1,"HU12_11702","HU4_33"
"2158",2891,2.6,NA,5.7,NA,NA,10,7,7,7,7,"HU12_10949","HU4_25"
"2159",2892,3.66,NA,NA,NA,NA,11,2,2,2,2,"HU12_13963","HU4_25"
"2160",2893,3.5052,NA,3.15,NA,NA,9,4,4,4,4,"HU12_12238","HU4_37"
"2161",2895,4.57,NA,NA,NA,NA,31,6,6,6,6,"HU12_11027","HU4_25"
"2162",2896,2.874,10.5,3.35,36.5,467,2,2,2,2,2,"HU12_13690","HU4_31"
"2163",2897,1.16,NA,40.5,NA,NA,10,6,6,6,6,"HU12_10531","HU4_25"
"2164",2898,0.7,NA,NA,NA,NA,5,5,5,5,5,"HU12_6022","HU4_37"
"2165",2899,0.8,70.8,56.4,NA,568,1,1,1,1,1,"HU12_8999","HU4_13"
"2166",2902,3.5574,11,4.2,NA,499,2,2,2,2,2,"HU12_13601","HU4_30"
"2167",2903,5.5,6.7499417745,NA,NA,NA,3,4,4,4,4,"HU12_13764","HU4_31"
"2168",2907,2.1,31,NA,NA,2769,3,3,3,3,3,"HU12_4467","HU4_46"
"2169",2909,0.38,172,90,NA,2830,2,1,1,1,1,"HU12_10976","HU4_25"
"2170",2910,1.852,48,NA,NA,NA,6,3,3,3,3,"HU12_13098","HU4_27"
"2171",2912,3.9788,14,5,NA,530.1962436,6,3,3,3,3,"HU12_19897","HU4_30"
"2172",2913,1.07,NA,21.5,NA,NA,25,11,11,11,11,"HU12_10961","HU4_25"
"2173",2915,5.1,24,1.1,NA,382,3,3,3,3,3,"HU12_19036","HU4_38"
"2174",2916,1.3572,19,0.9,141,767.5,2,2,2,2,2,"HU12_13031","HU4_32"
"2175",2918,5.334,6,2,NA,431,3,3,3,3,3,"HU12_12719","HU4_30"
"2176",2919,1.56,NA,17.9,NA,NA,18,5,5,5,5,"HU12_10929","HU4_25"
"2177",2921,3.96,NA,3.7,NA,362,3,1,1,1,1,"HU12_13967","HU4_25"
"2178",2922,1.8288,31,NA,NA,NA,9,5,5,5,5,"HU12_10267","HU4_27"
"2179",2927,3.3528,8,3.770512,NA,418.488618,3,3,3,3,3,"HU12_13671","HU4_31"
"2180",2928,2.5,36,NA,NA,882,5,5,5,5,5,"HU12_6500","HU4_37"
"2181",2930,2.045,NA,8.554422,NA,295.5,2,2,2,2,2,"HU12_7107","HU4_47"
"2182",2931,1.5,27,NA,NA,781,5,5,5,5,5,"HU12_6123","HU4_38"
"2183",2932,4.4,9,2,NA,664,1,1,1,1,1,"HU12_13072","HU4_32"
"2184",2933,1.1,47,32.05,NA,535,1,1,1,1,1,"HU12_9109","HU4_16"
"2185",2934,1.83,NA,NA,NA,NA,27,10,10,10,10,"HU12_11050","HU4_25"
"2186",2935,0.762,NA,NA,NA,NA,14,13,13,13,13,"HU12_19900","HU4_30"
"2187",2936,1.75,NA,NA,NA,NA,14,12,12,12,12,"HU12_19626","HU4_53"
"2188",2937,1.35,52,NA,NA,1084.5,6,6,6,6,6,"HU12_6122","HU4_38"
"2189",2938,2.5,NA,NA,NA,NA,10,11,11,11,11,"HU12_17539","HU4_7"
"2190",2939,2.13,NA,7.51,NA,NA,25,11,11,11,11,"HU12_10448","HU4_25"
"2191",2940,4.3,5,5.7,NA,1591,1,1,1,1,1,"HU12_12318","HU4_37"
"2192",2941,3.5,27,NA,NA,NA,3,3,3,3,3,"HU12_4562","HU4_38"
"2193",2942,5.1,16,0.12,NA,565,1,1,1,1,1,"HU12_19050","HU4_38"
"2194",2943,0.9,38.41,14.1,NA,769,1,1,1,1,1,"HU12_9010","HU4_13"
"2195",2944,2.325,NA,5.39,NA,NA,2,2,2,2,2,"HU12_14175","HU4_26"
"2196",2945,1.3,48,NA,70,1057,1,1,1,1,1,"HU12_11221","HU4_27"
"2197",2947,2.35000005,NA,NA,NA,NA,28,29,29,29,29,"HU12_17550","HU4_7"
"2198",2948,0.55,NA,NA,NA,NA,5,8,8,8,8,"HU12_9419","HU4_56"
"2199",2949,7.62,5,NA,NA,NA,6,7,7,7,7,"HU12_13586","HU4_30"
"2200",2950,1.8,38.41,18.3,NA,365,1,1,1,1,1,"HU12_16810","HU4_16"
"2201",2952,2.74,NA,NA,NA,NA,23,18,18,18,18,"HU12_10859","HU4_25"
"2202",2954,1.39065,27,NA,NA,NA,6,1,1,1,1,"HU12_11415","HU4_29"
"2203",2956,2.5908,6,4,NA,746,7,1,1,1,1,"HU12_12458","HU4_37"
"2204",2957,2.9,9,1.5,32,802,1,1,1,1,1,"HU12_6602","HU4_37"
"2205",2958,4.4196,NA,NA,NA,NA,9,9,9,9,9,"HU12_13672","HU4_31"
"2206",2959,2.8194,12,6.3,NA,644,10,1,1,1,1,"HU12_12368","HU4_37"
"2207",2960,1.1825,NA,NA,NA,NA,16,5,5,5,5,"HU12_10089","HU4_55"
"2208",2961,4.495,NA,NA,NA,NA,21,10,10,10,10,"HU12_11066","HU4_25"
"2209",2962,1.8288,NA,NA,NA,NA,11,10,10,10,10,"HU12_12672","HU4_30"
"2210",2963,1.5,12,1.7,NA,126,1,1,1,1,1,"HU12_9112","HU4_16"
"2211",2964,3.4,7.685524348,3,NA,621.3475017,3,3,3,3,3,"HU12_13751","HU4_31"
"2212",2965,3.8,NA,NA,NA,NA,4,4,4,4,4,"HU12_19036","HU4_38"
"2213",2966,4.035,NA,NA,NA,NA,16,4,4,4,4,"HU12_14448","HU4_26"
"2214",2967,2.5,15.5,2.695,NA,638.5,2,2,2,2,2,"HU12_19036","HU4_38"
"2215",2968,2.4025,NA,13.65,NA,NA,8,4,4,4,4,"HU12_11150","HU4_29"
"2216",2972,0.75,89.425,147.15,NA,1334,1,1,1,1,1,"HU12_9181","HU4_16"
"2217",2974,2.1,17,9.5,NA,1001,1,1,1,1,1,"HU12_12452","HU4_37"
"2218",2975,3.2004,8,1.3,7,475,23,1,1,1,1,"HU12_6651","HU4_37"
"2219",2977,3.735,NA,NA,NA,NA,20,3,3,3,3,"HU12_14729","HU4_28"
"2220",2978,3.96,NA,4.03,NA,NA,15,10,10,10,10,"HU12_10800","HU4_25"
"2221",2979,5.715,NA,2.01,NA,NA,21,2,2,2,2,"HU12_14402","HU4_26"
"2222",2981,2.13,NA,11.825,NA,NA,17,4,4,4,4,"HU12_10891","HU4_25"
"2223",2982,2.46,NA,15.216913,NA,1132,3,3,3,3,3,"HU12_6858","HU4_41"
"2224",2983,3,NA,NA,NA,NA,7,8,8,8,8,"HU12_13955","HU4_25"
"2225",2984,4.95,NA,2,NA,NA,13,5,5,5,5,"HU12_10824","HU4_25"
"2226",2985,2.649,30.5,NA,NA,NA,1,1,1,1,1,"HU12_11254","HU4_27"
"2227",2986,1.1,24.39,20,NA,4921,1,1,1,1,1,"HU12_19520","HU4_16"
"2228",2987,3.73,NA,3.3175,NA,NA,23,8,8,8,8,"HU12_19764","HU4_25"
"2229",2989,1.2,30.79,29.2,NA,181,1,1,1,1,1,"HU12_8999","HU4_13"
"2230",2991,0.8,53,NA,NA,3447,3,3,3,3,3,"HU12_4771","HU4_38"
"2231",2992,1.4334,18.5,2.95,NA,335.5,2,2,2,2,2,"HU12_13737","HU4_31"
"2232",2993,0.65,81,33.12,NA,1079.5,4,4,4,4,4,"HU12_4003","HU4_38"
"2233",2994,3.2766,12.5,NA,NA,NA,6,10,10,10,10,"HU12_13399","HU4_33"
"2234",2995,1.83,NA,12.5,NA,NA,26,12,12,12,12,"HU12_10464","HU4_54"
"2235",2996,4.7625,12,2.49,10,NA,10,1,1,1,1,"HU12_13075","HU4_32"
"2236",2997,0.4,96,48.45,NA,2549,1,1,1,1,1,"HU12_17198","HU4_12"
"2237",2998,1.05,44,NA,NA,788.5,4,4,4,4,4,"HU12_4662","HU4_49"
"2238",3001,6,12,NA,NA,295,1,2,2,2,2,"HU12_13937","HU4_26"
"2239",3002,0.28,NA,NA,NA,1918,3,3,3,3,3,"HU12_6985","HU4_46"
"2240",3004,1.25,32.5,9,NA,594,1,1,1,1,1,"HU12_9133","HU4_16"
"2241",3005,1.8,NA,NA,NA,NA,5,5,5,5,5,"HU12_4771","HU4_38"
"2242",3006,1.525,NA,NA,NA,NA,31,20,20,20,20,"HU12_10858","HU4_25"
"2243",3007,0.95,NA,NA,NA,1402.5,6,6,6,6,6,"HU12_7929","HU4_45"
