"lagoslakeid","tp","tn_combined","chla","sampledate","sampleyear","samplemonth","monthday","eventida1087","programname","secchi","var_num","hu4_zoneid","random25_holdout","random75_holdout","hu4_ag50_holdout","hu4_random50_holdout","hu4_strat75_holdout"
1667,20,NA,8.46,1994-06-27,1994,6,"0627",38437,"WI_DNR_NUTRIENT",3.048,3,"HU4_24",FALSE,FALSE,FALSE,FALSE,TRUE
1668,817,2338,NA,2007-08-08,2007,8,"0808",38532,"EPA_NLA_CHEM",2.55,3,"HU4_55",FALSE,TRUE,TRUE,TRUE,TRUE
1669,17,247,3,2002-08-28,2002,8,"0828",38567,"MI_DEQ_LWQA",2.1,4,"HU4_32",FALSE,TRUE,FALSE,TRUE,TRUE
1670,NA,NA,2.36,2006-06-22,2006,6,"0622",38574,"MN_MPCA_CHEM_1999_2012",4.42,2,"HU4_25",FALSE,TRUE,FALSE,FALSE,FALSE
1671,12,470,4.16,1993-06-16,1993,6,"0616",38582,"MN_MPCA_CHEM",4,4,"HU4_28",TRUE,FALSE,FALSE,FALSE,TRUE
1672,16,390,4,1995-07-24,1995,7,"0724",38596,"ME_ANP_post_2006",4.5,4,"HU4_3",FALSE,TRUE,FALSE,TRUE,FALSE
1674,50,534,9.02,1997-08-04,1997,8,"0804",38719,"IN_chemistry",1.3,4,"HU4_41",FALSE,TRUE,TRUE,FALSE,TRUE
1675,8,302,1.5,2010-08-17,2010,8,"0817",38723,"MI_DEQ_LWQA",1.1,4,"HU4_31",FALSE,FALSE,FALSE,TRUE,TRUE
1676,NA,427,1.92,2008-06-18,2008,6,"0618",38809,"MN_MPCA_CHEM_1999_2012",3.5,3,"HU4_28",TRUE,FALSE,FALSE,FALSE,FALSE
1677,9,959,NA,2000-08-31,2000,8,"0831",38831,"WI_DNR_NUTRIENT",1.8,3,"HU4_34",FALSE,TRUE,TRUE,FALSE,TRUE
1678,39,NA,1.23,1997-06-21,1997,6,"0621",38864,"WI_DNR_NUTRIENT",6.7056,3,"HU4_24",FALSE,TRUE,FALSE,FALSE,FALSE
1680,16,284,2.2,2005-08-19,2005,8,"0819",38942,"MI_DEQ_LWQA",3.4,4,"HU4_31",FALSE,TRUE,FALSE,TRUE,TRUE
1681,24,NA,3.56,2004-08-18,2004,8,"0818",38946,"WI_DNR_NUTRIENT",2.1336,3,"HU4_32",FALSE,TRUE,FALSE,TRUE,TRUE
1682,NA,NA,9.96,2009-06-16,2009,6,"0616",38972,"MN_MPCA_CHEM_1999_2012",2,2,"HU4_28",FALSE,FALSE,FALSE,FALSE,FALSE
1683,8,401,2,2002-08-29,2002,8,"0829",38982,"MI_DEQ_LWQA",4.6,4,"HU4_32",FALSE,TRUE,FALSE,TRUE,TRUE
1684,6,692,3.6,2007-08-06,2007,8,"0806",38986,"MI_DEQ_LWQA",3.5,4,"HU4_31",FALSE,TRUE,FALSE,TRUE,TRUE
1685,NA,NA,4,2011-06-28,2011,6,"0628",38993,"MN_MPCA_CHEM_1999_2012",4.3,2,"HU4_54",FALSE,TRUE,TRUE,TRUE,TRUE
1687,NA,NA,2,2011-06-27,2011,6,"0627",39008,"MN_MPCA_CHEM_1999_2012",6.1,2,"HU4_26",FALSE,TRUE,FALSE,FALSE,TRUE
1688,NA,NA,12,2006-06-25,2006,6,"0625",39020,"MN_MPCA_CHEM_1999_2012",1.98,2,"HU4_25",FALSE,FALSE,FALSE,FALSE,TRUE
1689,24,701,5.1,2008-08-14,2008,8,"0814",39034,"MI_DEQ_LWQA",3,4,"HU4_37",FALSE,TRUE,TRUE,TRUE,TRUE
1691,NA,NA,2.2,2009-08-12,2009,8,"0812",39052,"MI_DEQ_LWQA",NA,1,"HU4_30",FALSE,TRUE,FALSE,FALSE,FALSE
1692,28,NA,7.4,2000-08-15,2000,8,"0815",39057,"MA_DEP_CHEM",1.8,3,"HU4_10",TRUE,TRUE,FALSE,FALSE,FALSE
1694,140,1174,NA,2007-09-05,2007,9,"0905",39060,"EPA_NLA_CHEM",0.25,3,"HU4_56",FALSE,TRUE,TRUE,FALSE,TRUE
1695,220,276,1.86,1993-08-02,1993,8,"0802",39102,"IN_chemistry",4.1,4,"HU4_37",FALSE,TRUE,TRUE,TRUE,TRUE
1696,90,NA,4,1990-07-18,1990,7,"0718",39139,"MN_MPCA_CHEM",2,3,"HU4_25",FALSE,FALSE,FALSE,FALSE,TRUE
1697,8,465,3.6,2005-08-22,2005,8,"0822",39318,"MI_DEQ_LWQA",3.6,4,"HU4_30",FALSE,TRUE,FALSE,FALSE,TRUE
1698,NA,NA,NA,2007-09-15,NA,NA,NA,NA,NA,1.0668,1,"HU4_27",FALSE,TRUE,FALSE,FALSE,TRUE
1699,214,8320,76.1,1991-07-01,1991,7,"0701",39321,"MN_MPCA_CHEM",0.65,4,"HU4_55",TRUE,TRUE,TRUE,TRUE,TRUE
1700,10,432,1.87,1993-08-24,1993,8,"0824",39366,"IN_chemistry",5.3,4,"HU4_38",FALSE,TRUE,TRUE,FALSE,FALSE
1701,22,NA,7.23,1994-06-19,1994,6,"0619",39372,"WI_DNR_NUTRIENT",2.1336,3,"HU4_34",FALSE,TRUE,TRUE,FALSE,TRUE
1702,17,808,NA,1992-07-27,1992,7,"0727",39387,"WI_DNR_NUTRIENT",1,3,"HU4_55",FALSE,TRUE,TRUE,TRUE,TRUE
1703,27,770,6.73,1996-07-02,1996,7,"0702",39407,"MN_MPCA_CHEM",1.3,4,"HU4_25",FALSE,TRUE,FALSE,FALSE,TRUE
1705,11,595,3.2,2006-08-09,2006,8,"0809",39474,"MI_DEQ_LWQA",2.7,4,"HU4_30",FALSE,FALSE,FALSE,FALSE,FALSE
1707,8,285,1.4,2008-08-06,2008,8,"0806",39480,"MI_DEQ_LWQA",4,4,"HU4_30",FALSE,TRUE,FALSE,FALSE,TRUE
1708,26,NA,11.6,2007-08-30,2007,8,"0830",39489,"WI_DNR_NUTRIENT",0.75,3,"HU4_32",FALSE,FALSE,FALSE,TRUE,TRUE
1709,32,243,7.87,1996-07-08,1996,7,"0708",39492,"IN_chemistry",1.1,4,"HU4_38",FALSE,TRUE,TRUE,FALSE,TRUE
1710,30,NA,8.33,2003-07-31,2003,7,"0731",39497,"WI_DNR_NUTRIENT",1.3716,3,"HU4_34",TRUE,FALSE,TRUE,FALSE,FALSE
1711,NA,578,13.683953,2006-07-20,2006,7,"0720",39501,"OH_MIAMI_CHEM",0.49,3,"HU4_43",FALSE,TRUE,FALSE,FALSE,TRUE
1712,16,1366,5.46,1993-08-16,1993,8,"0816",39504,"IN_chemistry",1.8,4,"HU4_37",FALSE,TRUE,TRUE,TRUE,TRUE
1714,55,NA,23.9,2007-06-29,2007,6,"0629",39511,"WI_DNR_NUTRIENT",0.9144,3,"HU4_34",TRUE,FALSE,TRUE,FALSE,FALSE
1715,26,443,12.29,2008-07-17,2008,7,"0717",39532,"NJ_DEP_CHEM",1.5,4,"HU4_16",TRUE,FALSE,FALSE,FALSE,TRUE
1716,NA,NA,NA,2008-08-06,NA,NA,NA,NA,NA,4.42,1,"HU4_26",TRUE,TRUE,FALSE,FALSE,TRUE
1717,8,373,2.45,1991-07-25,1991,7,"0725",39536,"MN_MPCA_CHEM",1.4,4,"HU4_26",FALSE,TRUE,FALSE,FALSE,TRUE
1719,21,660,NA,2000-08-16,2000,8,"0816",39537,"WI_LKLS",1.7,3,"HU4_33",TRUE,TRUE,TRUE,FALSE,TRUE
1722,6,362,3.1,2008-08-11,2008,8,"0811",39541,"MI_DEQ_LWQA",5.2,4,"HU4_30",FALSE,TRUE,FALSE,FALSE,TRUE
1723,NA,NA,NA,2010-07-11,NA,NA,NA,NA,NA,1.4,1,"HU4_26",FALSE,TRUE,FALSE,FALSE,TRUE
1725,NA,NA,1,2008-06-26,2008,6,"0626",39552,"MN_MPCA_CHEM_1999_2012",5.64,2,"HU4_25",FALSE,FALSE,FALSE,FALSE,TRUE
1726,27,NA,4.63,2006-06-23,2006,6,"0623",39571,"WI_DNR_NUTRIENT",1.524,3,"HU4_34",TRUE,TRUE,TRUE,FALSE,TRUE
1727,22,790,7.53,1995-07-25,1995,7,"0725",39606,"MN_MPCA_CHEM",2,4,"HU4_28",TRUE,TRUE,FALSE,FALSE,TRUE
1728,NA,761,28.898581,2006-07-25,2006,7,"0725",39608,"OH_MIAMI_CHEM",0.95,3,"HU4_45",FALSE,TRUE,TRUE,FALSE,TRUE
1729,NA,NA,NA,2001-07-28,NA,NA,NA,NA,NA,2.5908,1,"HU4_27",FALSE,TRUE,FALSE,FALSE,TRUE
1730,28,NA,8.6,2000-07-18,2000,7,"0718",39612,"MA_DEP_CHEM",1.8,3,"HU4_7",FALSE,TRUE,FALSE,TRUE,TRUE
1731,NA,NA,NA,2007-07-15,NA,NA,NA,NA,NA,2.44,1,"HU4_28",TRUE,FALSE,FALSE,FALSE,TRUE
1732,93,NA,14,1999-07-13,1999,7,"0713",39618,"MA_DEP_CHEM",1.4,3,"HU4_10",FALSE,TRUE,FALSE,FALSE,FALSE
1733,NA,513,9.889877,2006-07-17,2006,7,"0717",39621,"OH_MIAMI_CHEM",NA,2,"HU4_47",FALSE,TRUE,FALSE,TRUE,TRUE
1735,50,610,2.19,1997-08-05,1997,8,"0805",39626,"IN_chemistry",2.7,4,"HU4_37",TRUE,TRUE,TRUE,TRUE,TRUE
1736,NA,NA,54.4,2008-07-30,2008,7,"0730",39635,"MN_MPCA_CHEM_1999_2012",0.5,2,"HU4_53",FALSE,TRUE,TRUE,TRUE,FALSE
1737,50,NA,30.5,2003-09-04,2003,9,"0904",39651,"WI_DNR_NUTRIENT",1.2,3,"HU4_27",TRUE,TRUE,FALSE,FALSE,FALSE
1738,NA,NA,NA,2003-06-16,NA,NA,NA,NA,NA,3.3528,1,"HU4_33",FALSE,TRUE,TRUE,FALSE,TRUE
1740,82,1987,NA,2007-09-08,2007,9,"0908",39653,"EPA_NLA_CHEM",0.4,3,"HU4_53",FALSE,TRUE,TRUE,TRUE,FALSE
1741,NA,NA,NA,1993-07-09,NA,NA,NA,NA,NA,2.4384,1,"HU4_32",FALSE,TRUE,FALSE,TRUE,TRUE
1743,19,NA,4.93,2010-08-11,2010,8,"0811",39671,"WI_DNR_NUTRIENT",NA,2,"HU4_24",FALSE,FALSE,FALSE,FALSE,FALSE
1744,18,NA,0.96,2008-09-05,2008,9,"0905",39672,"WI_DNR_NUTRIENT",NA,2,"HU4_33",TRUE,FALSE,TRUE,FALSE,FALSE
1746,28,NA,10.6,1998-07-27,1998,7,"0727",39683,"MN_MPCA_CHEM",NA,2,"HU4_54",TRUE,TRUE,TRUE,TRUE,TRUE
1747,14,480,2.59,1990-08-09,1990,8,"0809",39771,"MN_MPCA_CHEM",2.6,4,"HU4_28",TRUE,TRUE,FALSE,FALSE,TRUE
1748,93,876,NA,2002-07-08,2002,7,"0708",39801,"IN_chemistry",3.1,3,"HU4_37",TRUE,TRUE,TRUE,TRUE,TRUE
1749,NA,563,21.166714,2007-07-11,2007,7,"0711",39802,"OH_MIAMI_CHEM",0.79,3,"HU4_47",FALSE,TRUE,FALSE,TRUE,TRUE
1750,160,NA,15,1990-06-18,1990,6,"0618",39831,"MN_MPCA_CHEM",0,3,"HU4_25",FALSE,TRUE,FALSE,FALSE,FALSE
1751,NA,NA,2.6,2008-06-29,2008,6,"0629",39875,"MN_MPCA_CHEM_1999_2012",6.1,2,"HU4_29",FALSE,FALSE,FALSE,TRUE,FALSE
1752,74,1471,62,2002-08-15,2002,8,"0815",39906,"MI_DEQ_LWQA",0.61,4,"HU4_37",FALSE,TRUE,TRUE,TRUE,TRUE
1753,NA,NA,NA,1995-07-03,NA,NA,NA,NA,NA,1.905,1,"HU4_32",FALSE,TRUE,FALSE,TRUE,FALSE
1754,9,NA,NA,1992-07-30,1992,7,"0730",39913,"WI_DNR_NUTRIENT",2.7,2,"HU4_33",FALSE,FALSE,TRUE,FALSE,TRUE
1755,NA,NA,41.7,2006-06-20,2006,6,"0620",39917,"MN_MPCA_CHEM_1999_2012",0.5,2,"HU4_25",FALSE,TRUE,FALSE,FALSE,FALSE
1756,NA,NA,NA,2004-07-15,NA,NA,NA,NA,NA,1.524,1,"HU4_27",FALSE,FALSE,FALSE,FALSE,TRUE
1758,NA,NA,NA,2005-07-16,NA,NA,NA,NA,NA,6.25,1,"HU4_26",TRUE,TRUE,FALSE,FALSE,TRUE
1759,21,1835,4.1,2003-08-06,2003,8,"0806",39933,"MI_DEQ_LWQA",3,4,"HU4_37",FALSE,TRUE,TRUE,TRUE,TRUE
1760,4,285,NA,2007-08-01,2007,8,"0801",39937,"EPA_NLA_CHEM",4.6,3,"HU4_28",FALSE,TRUE,FALSE,FALSE,TRUE
1761,10,1186,0.5,1995-07-05,1995,7,"0705",39939,"IN_chemistry",2.6,4,"HU4_37",FALSE,TRUE,TRUE,TRUE,TRUE
1762,230,NA,14,1990-07-05,1990,7,"0705",40098,"MN_MPCA_CHEM",1.98,3,"HU4_25",FALSE,FALSE,FALSE,FALSE,FALSE
1763,20,361,0.21,2001-08-07,2001,8,"0807",40158,"IN_chemistry",4.7,4,"HU4_49",FALSE,TRUE,TRUE,FALSE,TRUE
1764,13,635,NA,2007-06-27,2007,6,"0627",40159,"EPA_NLA_CHEM",2.28,3,"HU4_25",TRUE,TRUE,FALSE,FALSE,FALSE
1766,10,381,4.71,1994-08-23,1994,8,"0823",40355,"IN_chemistry",2.9,4,"HU4_38",FALSE,FALSE,TRUE,FALSE,FALSE
1767,10,2676,55.19,1994-07-26,1994,7,"0726",40359,"IN_chemistry",0.5,4,"HU4_38",TRUE,FALSE,TRUE,FALSE,TRUE
1768,17,644,4,2002-08-28,2002,8,"0828",40431,"MI_DEQ_LWQA",1.5,4,"HU4_31",FALSE,TRUE,FALSE,TRUE,FALSE
1770,16,674,NA,2004-06-25,2004,6,"0625",40439,"WI_HANSON",2.95,3,"HU4_27",FALSE,TRUE,FALSE,FALSE,TRUE
1772,28,NA,33.2,2004-08-31,2004,8,"0831",40449,"WI_DNR_NUTRIENT",1.0668,3,"HU4_33",FALSE,TRUE,TRUE,FALSE,TRUE
1773,47,909,0.4,2001-08-16,2001,8,"0816",40484,"IN_chemistry",2.9,4,"HU4_36",FALSE,TRUE,TRUE,TRUE,TRUE
1774,37,NA,NA,2002-08-22,2002,8,"0822",40486,"WI_DNR_NUTRIENT",NA,1,"HU4_27",FALSE,FALSE,FALSE,FALSE,FALSE
1776,10,484,3.76,1993-07-28,1993,7,"0728",40491,"IN_chemistry",2.2,4,"HU4_38",FALSE,TRUE,TRUE,FALSE,TRUE
1777,11,NA,2.06,1994-06-21,1994,6,"0621",40512,"WI_DNR_NUTRIENT",5.2578,3,"HU4_34",FALSE,TRUE,TRUE,FALSE,TRUE
1778,15,476,3.5,2004-08-11,2004,8,"0811",40592,"MI_DEQ_LWQA",2.4,4,"HU4_24",FALSE,FALSE,FALSE,FALSE,FALSE
1779,NA,1796,132.066789,2006-07-17,2006,7,"0717",40594,"OH_MIAMI_CHEM",0.41,3,"HU4_47",FALSE,TRUE,FALSE,TRUE,TRUE
1780,305,13288,45.72,1995-07-06,1995,7,"0706",40597,"IN_chemistry",1,4,"HU4_37",TRUE,TRUE,TRUE,TRUE,FALSE
1782,11,524,3,2009-09-02,2009,9,"0902",40605,"MI_DEQ_LWQA",2.9,4,"HU4_37",FALSE,TRUE,TRUE,TRUE,TRUE
1784,NA,524,27.700956,2006-07-17,2006,7,"0717",40622,"OH_MIAMI_CHEM",0.91,3,"HU4_43",FALSE,TRUE,FALSE,FALSE,TRUE
1785,NA,NA,1.7,2009-08-12,2009,8,"0812",40627,"MI_DEQ_LWQA",NA,1,"HU4_30",TRUE,TRUE,FALSE,FALSE,TRUE
1786,76,1550,39,1994-08-25,1994,8,"0825",40635,"MN_MPCA_CHEM",2.7,4,"HU4_53",FALSE,TRUE,TRUE,TRUE,TRUE
1787,6,523,1.7,2007-08-09,2007,8,"0809",40697,"MI_DEQ_LWQA",4.3,4,"HU4_37",FALSE,TRUE,TRUE,TRUE,TRUE
1789,30,730,8.1,2004-08-03,2004,8,"0803",40705,"MI_DEQ_LWQA",2.1,4,"HU4_37",FALSE,TRUE,TRUE,TRUE,FALSE
1791,57,1655,45.82,1995-07-31,1995,7,"0731",40708,"IN_chemistry",0.7,4,"HU4_36",FALSE,TRUE,TRUE,TRUE,FALSE
1792,2.5,131,0.7,2003-08-18,2003,8,"0818",40757,"MI_DEQ_LWQA",8.2,4,"HU4_30",FALSE,TRUE,FALSE,FALSE,TRUE
1794,13,399,1.77,1993-08-08,1993,8,"0808",40770,"MN_MPCA_CHEM",NA,3,"HU4_28",FALSE,TRUE,FALSE,FALSE,FALSE
1796,10,196,3,2002-08-06,2002,8,"0806",40778,"MI_DEQ_LWQA",4.3,4,"HU4_39",FALSE,FALSE,FALSE,FALSE,TRUE
1798,18,NA,5.42,2007-07-21,2007,7,"0721",40786,"WI_DNR_NUTRIENT",2.286,3,"HU4_27",FALSE,TRUE,FALSE,FALSE,TRUE
1799,5,NA,1.12,1991-08-27,1991,8,"0827",40813,"MN_MPCA_CHEM",3.35,3,"HU4_25",FALSE,TRUE,FALSE,FALSE,FALSE
1800,14,492,9.3,2008-08-13,2008,8,"0813",40823,"MI_DEQ_LWQA",1.8,4,"HU4_24",FALSE,TRUE,FALSE,FALSE,TRUE
1801,11,522,2,2007-08-27,2007,8,"0827",40828,"MI_DEQ_LWQA",4.3,4,"HU4_32",FALSE,TRUE,FALSE,TRUE,TRUE
1802,21,670,NA,2001-08-13,2001,8,"0813",40838,"WI_DNR_NUTRIENT",NA,2,"HU4_27",TRUE,TRUE,FALSE,FALSE,TRUE
1803,34,1021,8.7,2006-08-09,2006,8,"0809",40857,"MI_DEQ_LWQA",0.8,4,"HU4_30",FALSE,TRUE,FALSE,FALSE,TRUE
1804,NA,NA,NA,1990-08-09,NA,NA,NA,NA,NA,3.51,1,"HU4_29",FALSE,TRUE,FALSE,TRUE,TRUE
1805,11,501,3,2001-09-08,2001,9,"0908",40869,"MI_DEQ_LWQA",2.4,4,"HU4_37",FALSE,TRUE,TRUE,TRUE,TRUE
1806,17,NA,4.89,1996-06-26,1996,6,"0626",40877,"WI_DNR_NUTRIENT",3.048,3,"HU4_29",FALSE,TRUE,FALSE,TRUE,TRUE
1807,12.99,329.22,3.18,2001-07-24,2001,7,"0724",40951,"MI_MSU_CHERUVELIL",2.525,4,"HU4_37",FALSE,TRUE,TRUE,TRUE,TRUE
1808,11,516,1,2006-08-07,2006,8,"0807",40963,"MI_DEQ_LWQA",2.1,4,"HU4_37",FALSE,TRUE,TRUE,TRUE,FALSE
1809,248,2880,NA,1996-06-19,1996,6,"0619",40971,"WI_DNR_NUTRIENT",2.0574,3,"HU4_32",FALSE,TRUE,FALSE,TRUE,TRUE
1810,12,405,3.1,2008-08-13,2008,8,"0813",40978,"MI_DEQ_LWQA",2.7,4,"HU4_24",TRUE,TRUE,FALSE,FALSE,TRUE
1811,34,NA,1,1999-09-13,1999,9,"0913",40983,"MA_DEP_CHEM",0.5,3,"HU4_10",FALSE,FALSE,FALSE,FALSE,TRUE
1812,21,NA,3.35,2006-07-25,2006,7,"0725",40997,"WI_DNR_NUTRIENT",3.048,3,"HU4_33",FALSE,TRUE,TRUE,FALSE,FALSE
1813,89,NA,31.8,2010-07-19,2010,7,"0719",41018,"WI_DNR_NUTRIENT",NA,2,"HU4_33",FALSE,TRUE,TRUE,FALSE,TRUE
1814,46,NA,10.8,1997-07-08,1997,7,"0708",41025,"MN_MPCA_CHEM",2,3,"HU4_53",FALSE,TRUE,TRUE,TRUE,FALSE
1815,70,1311,13,2006-08-10,2006,8,"0810",41058,"MI_DEQ_LWQA",3.7,4,"HU4_37",FALSE,TRUE,TRUE,TRUE,TRUE
1816,NA,NA,3.9,1999-06-25,1999,6,"0625",41071,"MN_MPCA_CHEM_1999_2012",4.2,2,"HU4_25",TRUE,FALSE,FALSE,FALSE,TRUE
1818,6,NA,1.62,2002-07-23,2002,7,"0723",41192,"WI_DNR_NUTRIENT",6.7056,3,"HU4_27",FALSE,FALSE,FALSE,FALSE,TRUE
1819,104,1880,61.7,1996-07-22,1996,7,"0722",41247,"MN_MPCA_CHEM",0.4,4,"HU4_25",TRUE,TRUE,FALSE,FALSE,TRUE
1820,14,506,2.5,2007-08-14,2007,8,"0814",41276,"MI_DEQ_LWQA",2.9,4,"HU4_40",FALSE,TRUE,TRUE,TRUE,TRUE
1821,NA,960,55.303817,2006-06-26,2006,6,"0626",41279,"OH_MIAMI_CHEM",0.51,3,"HU4_48",FALSE,TRUE,FALSE,FALSE,FALSE
1822,65,NA,25.3,2008-07-23,2008,7,"0723",41295,"MN_SENTINEL",0.7,3,"HU4_25",FALSE,FALSE,FALSE,FALSE,TRUE
1823,7,2235,3.6,2003-08-11,2003,8,"0811",41406,"MI_DEQ_LWQA",3.4,4,"HU4_30",TRUE,TRUE,FALSE,FALSE,TRUE
1825,32,629.2,13,2006-08-16,2006,8,"0816",41413,"NJ_DEP_CHEM",1.7,4,"HU4_16",FALSE,TRUE,FALSE,FALSE,TRUE
1826,14,NA,5.77,1998-06-22,1998,6,"0622",41417,"MN_MPCA_CHEM",3.2,3,"HU4_25",FALSE,FALSE,FALSE,FALSE,TRUE
1828,2.5,222,1.7,2005-08-24,2005,8,"0824",41476,"MI_DEQ_LWQA",11.3,4,"HU4_31",FALSE,FALSE,FALSE,TRUE,FALSE
1829,NA,972,4.19,2009-07-16,2009,7,"0716",41480,"NJ_DEP_CHEM",2.4,3,"HU4_13",FALSE,TRUE,FALSE,TRUE,TRUE
1830,NA,NA,NA,2004-07-30,NA,NA,NA,NA,NA,2.29,1,"HU4_26",FALSE,TRUE,FALSE,FALSE,TRUE
1831,4,324,4,2001-08-27,2001,8,"0827",41484,"MI_DEQ_LWQA",2.4,4,"HU4_30",TRUE,FALSE,FALSE,FALSE,TRUE
1832,16,471,1.6,2006-08-21,2006,8,"0821",41490,"MI_DEQ_LWQA",3.4,4,"HU4_40",FALSE,TRUE,TRUE,TRUE,TRUE
1833,26,392,7,2002-08-19,2002,8,"0819",41493,"MI_DEQ_LWQA",1.8,4,"HU4_40",FALSE,FALSE,TRUE,TRUE,TRUE
1834,39,940,26,1992-06-25,1992,6,"0625",41515,"MN_MPCA_CHEM",1.7,4,"HU4_25",FALSE,TRUE,FALSE,FALSE,FALSE
1835,NA,NA,NA,2008-08-27,NA,NA,NA,NA,NA,3.7338,1,"HU4_32",TRUE,TRUE,FALSE,TRUE,TRUE
1837,10,1253,4.08,1993-07-19,1993,7,"0719",41605,"IN_chemistry",1.7,4,"HU4_37",FALSE,TRUE,TRUE,TRUE,TRUE
1838,19,366,0.5,2004-08-03,2004,8,"0803",41611,"MI_DEQ_LWQA",5.2,4,"HU4_30",FALSE,FALSE,FALSE,FALSE,TRUE
1839,NA,NA,9,2007-06-18,2007,6,"0618",41627,"MN_MPCA_CHEM_1999_2012",3.51,2,"HU4_25",FALSE,TRUE,FALSE,FALSE,TRUE
1840,32,711,13.24,1997-07-21,1997,7,"0721",41666,"IN_chemistry",0.8,4,"HU4_38",FALSE,TRUE,TRUE,FALSE,TRUE
1842,70,NA,42,1990-07-20,1990,7,"0720",41671,"MN_MPCA_CHEM",0.6,3,"HU4_25",FALSE,TRUE,FALSE,FALSE,TRUE
1843,16,NA,35.6,2000-08-15,2000,8,"0815",41805,"MA_DEP_CHEM",2.1,3,"HU4_10",FALSE,TRUE,FALSE,FALSE,TRUE
1845,NA,NA,162,2006-07-12,2006,7,"0712",41810,"MN_MPCA_CHEM_1999_2012",0.2,2,"HU4_25",FALSE,TRUE,FALSE,FALSE,TRUE
1846,9,523,1,2009-08-19,2009,8,"0819",41879,"MI_DEQ_LWQA",5.5,4,"HU4_40",FALSE,TRUE,TRUE,TRUE,TRUE
1847,NA,NA,3,2009-06-24,2009,6,"0624",41885,"MN_MPCA_CHEM_1999_2012",5.3,2,"HU4_26",FALSE,TRUE,FALSE,FALSE,TRUE
1848,50,1280,28.2,1994-07-11,1994,7,"0711",41896,"MN_MPCA_CHEM",1.2,4,"HU4_25",FALSE,TRUE,FALSE,FALSE,FALSE
1849,9,476,2,2006-08-09,2006,8,"0809",41913,"MI_DEQ_LWQA",4.6,4,"HU4_37",FALSE,TRUE,TRUE,TRUE,TRUE
1850,31,802,10.56,1995-07-11,1995,7,"0711",41918,"IN_chemistry",1.7,4,"HU4_36",FALSE,TRUE,TRUE,TRUE,TRUE
1852,8,705,0.58,1997-06-18,1997,6,"0618",41929,"MN_MPCA_CHEM",5.6,4,"HU4_25",FALSE,TRUE,FALSE,FALSE,FALSE
1853,12,510,4.36,1997-06-25,1997,6,"0625",41935,"MN_MPCA_CHEM",3.8,4,"HU4_25",FALSE,FALSE,FALSE,FALSE,TRUE
1854,7,476,6.2,2003-08-13,2003,8,"0813",41970,"MI_DEQ_LWQA",3.6,4,"HU4_30",TRUE,TRUE,FALSE,FALSE,TRUE
1856,19,908,14.28,2009-07-01,2009,7,"0701",41975,"NJ_DEP_CHEM",1.1,4,"HU4_13",TRUE,TRUE,FALSE,TRUE,TRUE
1857,18,500,2.2,2010-08-24,2010,8,"0824",41978,"MI_DEQ_LWQA",3,4,"HU4_37",FALSE,TRUE,TRUE,TRUE,FALSE
1858,NA,NA,NA,2006-06-15,NA,NA,NA,NA,NA,2.29,1,"HU4_26",FALSE,TRUE,FALSE,FALSE,TRUE
1859,12,NA,2.59,2009-07-30,2009,7,"0730",41986,"WI_DNR_NUTRIENT",2.77368,3,"HU4_33",TRUE,TRUE,TRUE,FALSE,TRUE
1860,NA,800,5.77,2010-08-09,2010,8,"0809",41997,"MN_MPCA_CHEM_1999_2012",2.7,3,"HU4_26",TRUE,TRUE,FALSE,FALSE,TRUE
1861,NA,NA,NA,2011-06-25,NA,NA,NA,NA,NA,2,1,"HU4_26",TRUE,TRUE,FALSE,FALSE,TRUE
1862,17,323,2.72,1996-08-12,1996,8,"0812",42002,"IN_chemistry",4,4,"HU4_38",TRUE,TRUE,TRUE,FALSE,FALSE
1863,7,300,3.1,1992-07-29,1992,7,"0729",42006,"MN_MPCA_CHEM",NA,3,"HU4_28",FALSE,TRUE,FALSE,FALSE,FALSE
1864,NA,NA,3,2010-06-15,2010,6,"0615",42017,"MN_MPCA_CHEM_1999_2012",1.31,2,"HU4_28",FALSE,FALSE,FALSE,FALSE,TRUE
1867,17,314,5.5,2009-08-12,2009,8,"0812",42096,"MI_DEQ_LWQA",3.8,4,"HU4_30",FALSE,TRUE,FALSE,FALSE,TRUE
1868,35,1204,8.44,2010-07-15,2010,7,"0715",42105,"WI_DNR_NUTRIENT",2.286,4,"HU4_32",FALSE,TRUE,FALSE,TRUE,TRUE
1870,22,NA,5.19,2009-06-18,2009,6,"0618",42120,"WI_DNR_NUTRIENT",2.16408,3,"HU4_33",TRUE,FALSE,TRUE,FALSE,FALSE
1871,NA,NA,NA,2002-06-29,NA,NA,NA,NA,NA,5.33,1,"HU4_26",FALSE,TRUE,FALSE,FALSE,TRUE
1872,26,183,10,2002-08-20,2002,8,"0820",42180,"MI_DEQ_LWQA",2.4,4,"HU4_30",TRUE,FALSE,FALSE,FALSE,FALSE
1873,12,NA,1.6,2000-06-19,2000,6,"0619",42185,"WI_DNR_NUTRIENT",5.7912,3,"HU4_32",FALSE,TRUE,FALSE,TRUE,TRUE
1876,5,406,NA,2007-06-26,2007,6,"0626",42234,"EPA_NLA_CHEM",2.23,3,"HU4_25",TRUE,TRUE,FALSE,FALSE,TRUE
1877,57.09,600,21.6,2005-08-24,2005,8,"0824",42237,"NJ_DEP_CHEM",0.9,4,"HU4_16",FALSE,TRUE,FALSE,FALSE,TRUE
